norm,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
lambeth north,0.006563706563706564,0.0,0.0,0.0,0.0,0.0025096525096525097,0.015540540540540541,0.04527027027027027,0.08658301158301158,0.07837837837837838,0.05723938223938224,0.045656370656370654,0.04893822393822394,0.052606177606177605,0.05492277992277992,0.06283783783783783,0.0806949806949807,0.09681467181467182,0.08503861003861003,0.05289575289575289,0.03696911196911197,0.03832046332046332,0.031563706563706564,0.020656370656370656
lancaster gate,0.007701704998140968,0.0018590322409305785,0.0,0.0,0.0,0.002177723482232963,0.018112285547352207,0.06639400860466352,0.11711903117862645,0.0829128379455038,0.04987517926382323,0.03808360333563499,0.03659637754289053,0.040314442024751686,0.04456365857545015,0.05492112391777766,0.07069634036224572,0.09714771339034366,0.09226111435704042,0.05534604557284751,0.03564030381898337,0.030275667923726563,0.03319700430233176,0.02480480161470229
latimer road,0.003924935606525205,0.00012265423770391266,0.0,0.0,0.0,0.003066355942597817,0.015822396663804736,0.0648840917453698,0.1267018275481418,0.09211333251563841,0.04121182386851466,0.03458849503250337,0.03655096283576598,0.03912670182754814,0.042561020483257696,0.05188274254875506,0.07518704771249847,0.12130504108916963,0.10118974610572795,0.05605298663068809,0.035692383171838586,0.026983932294860787,0.01974733227032994,0.011284189868759965
leicester square,0.01666140802638141,0.003460524574813488,0.0,0.0,0.0,0.0015572360586660697,0.008264546925731036,0.021160089973638944,0.04193341543597521,0.044365960651799985,0.03481898403069689,0.03541948682456158,0.04143469277666385,0.0462692491679474,0.049505857446743545,0.054045251447822414,0.06662527607861497,0.10014147438702914,0.10798872276109149,0.07400433583373198,0.057943430601215255,0.0605184680054147,0.08092538498335895,0.0529562040081017
leyton,0.013070452929203757,0.0022070183182520413,0.0,0.0,0.0,0.013438289315579097,0.06329238088231688,0.08759410480884769,0.09259667966355233,0.05721081929424459,0.03450305304200692,0.030554942494911596,0.030211628534294613,0.03327693175408911,0.03702886289511759,0.04499865126658329,0.06839304544005494,0.09745211996370681,0.09786900120159886,0.06503347311116016,0.04244831898771426,0.03428235121018171,0.030309718237328035,0.024228156649255744
leytonstone,0.010664431663824745,0.0020230629172567267,0.0,0.0,0.0,0.01239848559290194,0.04890032079997688,0.08710730903731106,0.1165573249328054,0.06265714863732262,0.03653073610589289,0.03234010577728967,0.03248461027137944,0.0357215109389902,0.03733996127279558,0.0468483569839022,0.06817722031155168,0.09392792115834803,0.09485274992052253,0.06066298661888385,0.03864050171960348,0.03106846622929973,0.027976070055778735,0.023120719054362592
liverpool street,0.0045894064546054625,0.0014183005369917756,0.0,0.0,0.0,0.0021274508054876635,0.015195440029971634,0.06554064902859794,0.1196635327279539,0.08476798744045813,0.04372647315933135,0.037308440226214476,0.04056428737088113,0.04183986584125738,0.04272295862844094,0.051130180365011685,0.0756382352416463,0.12491302874065617,0.11213494371398498,0.05594705011328564,0.03444507876474051,0.019106916668153354,0.015378302677822775,0.011841471464506806
london bridge,0.006336843247937473,0.0007824938486032711,0.0,0.0,0.0,0.0030847445361123172,0.020724779273411494,0.06669290056448111,0.11987534375452309,0.09213073527283254,0.046320921985815604,0.038378383268200894,0.04157620495006513,0.042458206686930094,0.042209436966275875,0.04881766536401795,0.06973693732812274,0.10723784194528875,0.09708803734259662,0.05225068750904617,0.03313160370531191,0.026885222173975973,0.02540165002171081,0.018879360254740195
loughton,0.008420690840350575,0.0020622100017185082,0.0,0.0,0.0,0.011342155009451797,0.04863378587386149,0.12622443718852036,0.12845849802371542,0.0539611617116343,0.03179240419316034,0.027496133356246778,0.028269462106891217,0.029644268774703556,0.03290943461075786,0.04932118920776766,0.0647018388039182,0.09847052758205878,0.10302457466918714,0.06186630005155525,0.03222203127685169,0.022684310018903593,0.020879876267399896,0.017614710431345593
maida vale,0.0073465442242629285,0.0,0.0,0.0,0.0,0.002029966167230546,0.017303044949250845,0.07858869018849686,0.13668438859352344,0.07124214596423394,0.041179313678105366,0.035766070565490575,0.03644272595456743,0.03692605123247946,0.03837602706621556,0.05094248429192847,0.06321894635089415,0.08158530691155147,0.0943450942484292,0.07336877718704689,0.04688255195746738,0.03518608023199613,0.0305461575640406,0.022039632672788786
manor house,0.01728357295809116,0.0025619455490975833,0.0,0.0,0.0,0.009138880391557051,0.03613490364025696,0.07448761089018048,0.10572805139186295,0.0707785255429795,0.03930865708167636,0.034605383909452433,0.03254053227286632,0.03433771795656164,0.03678494952584888,0.043782502294279595,0.06076017130620985,0.08083511777301927,0.09265065769348424,0.06810186601407159,0.047759253594371366,0.040532272866319975,0.03892627714897522,0.032961150198837566
